Name,Year,Score,Genre,Language,Budget,Revenue,Country
The Passion of the Christ,2004-02-25 00:00:00,74.0,Drama, English,25000000.0,622313635.0,AU
John Wick: Chapter 2,2017-05-18 00:00:00,73.0,"Action, Thriller, Crime", English,40000000.0,171539887.0,AU
John Wick: Chapter 3 - Parabellum,2019-05-16 00:00:00,74.0,"Action, Thriller, Crime", English,55000000.0,326709727.0,AU
A Bronx Tale,1994-05-20 00:00:00,78.0,"Drama, Crime", English,10000000.0,17287898.0,AU
Avatar,2009-12-17 00:00:00,76.0,"Action, Adventure, Fantasy, Science Fiction", English,237000000.0,2923706026.0,AU
John Wick,2014-11-26 00:00:00,74.0,"Action, Thriller", English,30000000.0,75958800.0,AU
Super Mario Bros.,1993-06-10 00:00:00,43.0,"Action, Adventure, Comedy, Family, Science Fiction", English,42000000.0,20844907.0,AU
Shazam!,2019-04-04 00:00:00,70.0,"Action, Comedy, Fantasy", English,85000000.0,363563907.0,AU
Avengers: Infinity War,2018-04-25 00:00:00,83.0,"Adventure, Action, Science Fiction", English,300000000.0,2048359754.0,AU
Creed II,2018-12-06 00:00:00,70.0,Drama, English,50000000.0,213591522.0,AU
Creed,2015-11-26 00:00:00,74.0,Drama, English,37000000.0,173567581.0,AU
Hacksaw Ridge,2016-10-07 00:00:00,82.0,"Drama, History, War", English,40000000.0,169023926.0,AU
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-26 00:00:00,71.0,"Adventure, Family, Fantasy", English,180000000.0,745013115.0,AU
Shrek,2001-06-21 00:00:00,77.0,"Animation, Comedy, Fantasy, Adventure, Family", English,50000000.0,491812794.0,AU
Murder Mystery,2019-05-25 00:00:00,63.0,"Comedy, Mystery", English,24000000.0,205809600.8,AU
Harry Potter and the Chamber of Secrets,2002-11-28 00:00:00,77.0,"Adventure, Fantasy", English,100000000.0,874954530.0,AU
Harry Potter and the Philosopher's Stone,2001-11-29 00:00:00,79.0,"Adventure, Fantasy", English,125000000.0,976475550.0,AU
Cars 3,2017-06-22 00:00:00,69.0,"Animation, Adventure, Comedy, Family", English,175000000.0,383541369.0,AU
Interstellar,2014-11-06 00:00:00,84.0,"Adventure, Drama, Science Fiction", English,165000000.0,648082655.0,AU
Coraline,2009-08-06 00:00:00,78.0,"Animation, Family, Fantasy", English,60000000.0,126037057.0,AU
Harry Potter and the Goblet of Fire,2005-12-01 00:00:00,78.0,"Adventure, Fantasy, Family", English,150000000.0,886742787.0,AU
Harry Potter and the Half-Blood Prince,2009-07-15 00:00:00,77.0,"Adventure, Fantasy", English,250000000.0,929411069.0,AU
The Avengers,2012-04-25 00:00:00,77.0,"Science Fiction, Action, Adventure", English,225000000.0,1515100211.0,AU
Exodus: Gods and Kings,2014-12-11 00:00:00,58.0,"Adventure, Drama, Action", English,140000000.0,268314513.0,AU
The Wolf of Wall Street,2014-01-22 00:00:00,80.0,"Crime, Drama, Comedy", English,100000000.0,389816136.0,AU
Brothers,2010-03-18 00:00:00,73.0,"Drama, Thriller, War", English,26000000.0,45043870.0,AU
Harry Potter and the Prisoner of Azkaban,2004-06-03 00:00:00,80.0,"Adventure, Fantasy", English,130000000.0,789592708.0,AU
Avengers: Endgame,2019-04-24 00:00:00,83.0,"Adventure, Science Fiction, Action", English,400000000.0,2794731755.0,AU
Harry Potter and the Order of the Phoenix,2007-07-11 00:00:00,77.0,"Adventure, Fantasy, Mystery", English,150000000.0,939619849.0,AU
I Believe,2017-11-07 00:00:00,70.0,"Family, Drama", English,127600000.0,683545513.4,US
Cars 2,2011-06-11 00:00:00,61.0,"Animation, Family, Adventure, Comedy", English,200000000.0,560155383.0,AU
Tangled,2011-01-06 00:00:00,76.0,"Animation, Family", English,260000000.0,583777242.0,AU
Fifty Shades of Grey,2015-02-12 00:00:00,59.0,"Drama, Romance, Thriller", English,40000000.0,570794950.0,AU
Harry Potter and the Deathly Hallows: Part 2,2011-07-13 00:00:00,81.0,"Fantasy, Adventure", English,125000000.0,1341511219.0,AU
The Help,2011-09-01 00:00:00,82.0,Drama, English,25000000.0,213120004.0,AU
"Monsters, Inc.",2001-12-26 00:00:00,78.0,"Animation, Comedy, Family", English,115000000.0,560483719.0,AU
